Ortografia,Cat_Gram,Transcr_Fon,Molde_Sil,Num_Sil,VPret,Altura_VPret,Ponto_VPret,VTon,Altura_VTon,Ponto_VTon,VPost_NaoFinal,Altura_VPost,Ponto_VPost_NaoFinal,VPost_Final,Altura_VPost,Ponto_VPost_Final,RimaTon,Tipo_RimaTon,Acento,Prefixo,Raiz,Sufixo
submeter,ver,su.bi.me.t1eR,CV.CV.CV.C1VC,4,e,Média-Alta,Front,e,Média-Alta,Front,NA,NA,NA,NA,Baixa,NA,eR,coda_rotica,oxytone,sub,me.t,eR
rel,nom,r1ehw,C1VG,1,NA,NA,NA,eh,Média-Baixa,Front,NA,NA,NA,NA,Baixa,NA,ehw,ditongo_oral,oxytone,NA,hel,NA
percentual,adj,peR.seN.tu.1aw,CVC.CVC.CV.1VG,4,u,Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,peR,sen.t,u.al
apostar,ver,a.pos.t1aR,V.CVC.C1VC,3,o,Média-Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,a.pos.t,aR
tabela,nom,ta.b1eh.lax,CV.C1V.CV,3,a,Baixa,Central,eh,Média-Baixa,Front,NA,NA,NA,a,Baixa,Central,eh,vogal_oral,paroxytone,NA,ta.be.l,a
somar,ver,so.m1aR,CV.C1VC,2,o,Média-Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,so.m,aR
propriedade,nom,pro.pri.e.d1a.dzhi,CCV.CCV.V.C1V.CV,5,e,Média-Alta,Front,a,Baixa,Central,NA,NA,NA,i,Alta,Front,a,vogal_oral,paroxytone,NA,pro.pri,e.dade
compreender,ver,kowN.pri.ejN.d1eR,CVGC.CCV.VGC.C1VC,4,e,Média-Alta,Front,e,Média-Alta,Front,NA,NA,NA,NA,Baixa,NA,eR,coda_rotica,oxytone,koN,pre.en.d,eR
inferior,adj,iN.fe.ri.1oR,VC.CV.CV.1VC,4,i,Alta,Front,o,Média-Alta,Back,NA,NA,NA,NA,Baixa,NA,oR,coda_rotica,oxytone,NA,in.fe.r,i.oR
facilitar,ver,fa.si.li.t1aR,CV.CV.CV.C1VC,4,i,Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,fa.si.l,it.aR
editora,nom,e.dzhi.t1o.rax,V.CV.C1V.CV,4,i,Alta,Front,o,Média-Alta,Back,NA,NA,NA,a,Baixa,Central,o,vogal_oral,paroxytone,NA,e.di.t,oR.a
canal,nom,ka.n1aw,CV.C1VG,2,a,Baixa,Central,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,NA,ka.n,al
casamento,nom,ka.za.m1eN.tu,CV.CV.C1VC.CV,4,a,Baixa,Central,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,eN,coda_nasal,paroxytone,NA,ka.z,a.mento
dormir,ver,duR.m1iR,CVC.C1VC,2,u,Alta,Back,i,Alta,Front,NA,NA,NA,NA,Baixa,NA,iR,coda_rotica,oxytone,NA,dor.m,iR
cuidar,ver,kuj.d1aR,CVG.C1VC,2,u,Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,kui.d,aR
vivo,adj,v1i.vu,C1V.CV,2,NA,NA,NA,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,NA,vi.v,o
compromisso,nom,kowN.pro.m1i.su,CVGC.CCV.C1V.CV,4,o,Média-Alta,Back,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,NA,kom.pro.m,iso
encaminhar,ver,iN.ka.mi.nh1aR,VC.CV.CV.C1VC,4,i,Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,eN,ka.mi.N,aR
medir,ver,mi.dzh1iR,CV.C1VC,2,i,Alta,Front,i,Alta,Front,NA,NA,NA,NA,Baixa,NA,iR,coda_rotica,oxytone,NA,me.d,iR
sustentar,ver,sus.teN.t1aR,CVC.CVC.C1VC,3,e,Média-Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,sus.ten.t,aR
garantia,nom,ga.r6N.tsh1i.ax,CV.CVC.C1V.V,4,6,Média-Alta,Central,i,Alta,Front,NA,NA,NA,a,Baixa,Central,i,vogal_oral,paroxytone,NA,ga.ran.t,ia
traficante,nom,tra.fi.k16N.tshi,CCV.CV.C1VC.CV,4,i,Alta,Front,6,Média-Alta ,Central,NA,NA,NA,i,Alta,Front,6N,coda_nasal,paroxytone,NA,tra.fi.k,ante
poeta,nom,po.1eh.tax,CV.1V.CV,3,o,Média-Alta,Back,eh,Média-Baixa,Front,NA,NA,NA,a,Baixa,Central,eh,vogal_oral,paroxytone,NA,po.e.t,a
desejo,nom,de.z1e.zhu,CV.C1V.CV,3,e,Média-Alta,Front,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,e,vogal_oral,paroxytone,deS,de.ze.j,o
lutar,ver,lu.t1aR,CV.C1VC,2,u,Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,lu.t,aR
colega,nom,ko.l1eh.gax,CV.C1V.CV,3,o,Média-Alta,Back,eh,Média-Baixa,Front,NA,NA,NA,a,Baixa,Central,eh,vogal_oral,paroxytone,NA,ko.le.g,a
tropa,nom,tr1oh.pax,CC1V.CV,2,NA,NA,NA,oh,Média-Baixa,Back,NA,NA,NA,a,Baixa,Central,oh,vogal_oral,paroxytone,NA,tro.p,a
sexo,nom,s1eh.ksu,C1V.CCV,2,NA,NA,NA,eh,Média-Baixa,Front,NA,NA,NA,u,Alta,Back,eh,vogal_oral,paroxytone,NA,seks,o
amplo,adj,16N.plu,1VC.CCV,2,NA,NA,NA,6,Média-Alta ,Central,NA,NA,NA,u,Alta,Back,6N,coda_nasal,paroxytone,NA,am.pl,o
interpretar,ver,iN.teR.pre.t1aR,VC.CVC.CCV.C1VC,4,e,Média-Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,in.ter.pre.t,aR
meta,nom,m1eh.tax,C1V.CV,2,NA,NA,NA,eh,Média-Baixa,Front,NA,NA,NA,a,Baixa,Central,eh,vogal_oral,paroxytone,NA,me.t,a
procedimento,nom,pro.se.dzhi.m1eN.tu,CCV.CV.CV.C1VC.CV,5,i,Alta,Front,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,eN,coda_nasal,paroxytone,NA,pro.se.d,i.mento
independente,adj,iN.de.peN.d1ejN.tshi,VC.CV.CVC.C1VGC.CV,5,e,Média-Alta,Front,e,Média-Alta,Front,NA,NA,NA,i,Alta,Front,eN,coda_nasal,paroxytone,iN,de.pen.d,ente
individual,adj,iN.dzhi.vi.du.1aw,VC.CV.CV.CV.1VG,5,u,Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,iN,di.vi.d,u.al
palco,nom,p1aw.ku,C1VG.CV,2,NA,NA,NA,a,Baixa,Central,NA,NA,NA,u,Alta,Back,aw,ditongo_oral,paroxytone,NA,pal.k,o
vestir,ver,vis.tsh1iR,CVC.C1VC,2,i,Alta,Front,i,Alta,Front,NA,NA,NA,NA,Baixa,NA,iR,coda_rotica,oxytone,NA,ves.t,iR
testemunha,nom,tes.te.m1u.nhax,CVC.CV.C1V.CV,4,e,Média-Alta,Front,u,Alta,Back,NA,NA,NA,a,Baixa,Central,u,vogal_oral,paroxytone,NA,tes.te.mu.N,a
comprometer,ver,kowN.pro.me.t1eR,CVGC.CCV.CV.C1VC,4,e,Média-Alta,Front,e,Média-Alta,Front,NA,NA,NA,NA,Baixa,NA,eR,coda_rotica,oxytone,koN,pro.me.t,eR
madrugada,nom,ma.dru.g1a.dax,CV.CCV.C1V.CV,4,u,Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,a,vogal_oral,paroxytone,NA,ma.dru.g,ad.a
novamente,adv,noh.va.m1ejN.tshi,CV.CV.C1VGC.CV,4,a,Baixa,Central,e,Média-Alta,Front,NA,NA,NA,i,Alta,Front,eN,coda_nasal,paroxytone,NA,no.v,a.mente
dor,nom,d1oR,C1VC,1,NA,NA,NA,o,Média-Alta,Back,NA,NA,NA,NA,Baixa,NA,oR,coda_rotica,oxytone,NA,dor,NA
proteger,ver,pro.te.zh1eR,CCV.CV.C1VC,3,e,Média-Alta,Front,e,Média-Alta,Front,NA,NA,NA,NA,Baixa,NA,eR,coda_rotica,oxytone,NA,pro.te.j,eR
aproximar,ver,a.pro.si.m1aR,V.CCV.CV.C1VC,4,i,Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,pro.si.m,aR
filosofia,nom,fi.lo.zo.f1i.ax,CV.CV.CV.C1V.V,5,o,Média-Alta,Back,i,Alta,Front,NA,NA,NA,a,Baixa,Central,i,vogal_oral,paroxytone,NA,fi.lo.zo.f,ia
chegada,nom,she.g1a.dax,CV.C1V.CV,3,e,Média-Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,a,vogal_oral,paroxytone,NA,xe.g,ad.a
leitura,nom,lej.t1u.rax,CVG.C1V.CV,3,e,Média-Alta,Front,u,Alta,Back,NA,NA,NA,a,Baixa,Central,u,vogal_oral,paroxytone,NA,lei.t,uR.a
argumento,nom,aR.gu.m1ejN.tu,VC.CV.C1VGC.CV,4,u,Alta,Back,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,eN,coda_nasal,paroxytone,NA,ar.gu,mento
combater,ver,kowN.ba.t1eR,CVGC.CV.C1VC,3,a,Baixa,Central,e,Média-Alta,Front,NA,NA,NA,NA,Baixa,NA,eR,coda_rotica,oxytone,NA,kom.ba.t,eR
bicho,nom,b1i.shu,C1V.CV,2,NA,NA,NA,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,NA,bi.x,o
projetar,ver,pro.zhe.t1aR,CCV.CV.C1VC,3,e,Média-Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,pro.je.t,aR
planejamento,nom,pla.ne.zha.m1ejN.tu,CCV.CV.CV.C1VGC.CV,5,a,Baixa,Central,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,eN,coda_nasal,paroxytone,NA,pla.n,eja.mento
rei,nom,h1ej,C1VG,1,NA,NA,NA,e,Média-Alta,Front,NA,NA,NA,NA,Baixa,NA,ej,ditongo_oral,oxytone,NA,hei,NA
levantamento,nom,le.v6N.ta.m1eN.tu,CV.CVC.CV.C1VC.CV,5,a,Baixa,Central,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,eN,coda_nasal,paroxytone,NA,le.van.t,a.mento
cantor,nom,k6N.t1oR,CVC.C1VC,2,6,Média-Alta,Central,o,Média-Alta,Back,NA,NA,NA,NA,Baixa,NA,oR,coda_rotica,oxytone,NA,kan.t,oR
placa,nom,pl1a.kax,CC1V.CV,2,NA,NA,NA,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,a,vogal_oral,paroxytone,NA,pla.k,a
roteiro,nom,ho.t1ej.ru,CV.C1VG.CV,3,o,Média-Alta,Back,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,ej,ditongo_oral,paroxytone,NA,ho.tei.r,o
carioca,adj,ka.ri.1oh.kax,CV.CV.1V.CV,4,i,Alta,Front,oh,Média-Baixa,Back,NA,NA,NA,a,Baixa,Central,oh,vogal_oral,paroxytone,NA,ka.ri.o.k,a
judicial,adj,zhu.dzhi.si.1aw,CV.CV.CV.1VG,4,i,Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,NA,ju.di.s,i.al
corrigir,ver,ko.hi.zh1iR,CV.CV.C1VC,3,i,Alta,Front,i,Alta,Front,NA,NA,NA,NA,Baixa,NA,iR,coda_rotica,oxytone,NA,ko.hi.j,iR
desconto,nom,dzhis.k1owN.tu,CVC.C1VGC.CV,3,i,Alta,Front,o,Média-Alta,Back,NA,NA,NA,u,Alta,Back,oN,coda_nasal,paroxytone,deS,kon.t,o
desfile,nom,dzhis.f1i.li,CVC.C1V.CV,3,i,Alta,Front,i,Alta,Front,NA,NA,NA,NA,Baixa,NA,i,vogal_oral,paroxytone,NA,des.fi.l,e
propaganda,nom,pro.pa.g16N.dax,CCV.CV.C1VC.CV,4,a,Baixa,Central,6,Média-Alta ,Central,NA,NA,NA,a,Baixa,Central,6N,coda_nasal,paroxytone,NA,pro.pa.g,anda
correto,adj,ko.h1eh.tu,CV.C1V.CV,3,o,Média-Alta,Back,eh,Média-Baixa,Front,NA,NA,NA,u,Alta,Back,eh,vogal_oral,paroxytone,NA,ko.he.t,o
conduzir,ver,kowN.du.z1iR,CVGC.CV.C1VC,3,u,Alta,Back,i,Alta,Front,NA,NA,NA,NA,Baixa,NA,iR,coda_rotica,oxytone,koN,du,z.iR
corresponder,ver,ko.hes.powN.d1eR,CV.CVC.CVGC.C1VC,4,o,Média-Alta,Back,e,Média-Alta,Front,NA,NA,NA,NA,Baixa,NA,eR,coda_rotica,oxytone,ko,hes.pon.d,eR
anual,adj,a.nu.1aw,V.CV.1VG,3,u,Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,NA,a.n,u.al
costa,nom,k1ohs.tax,C1VC.CV,2,NA,NA,NA,oh,Média-Baixa,Back,NA,NA,NA,a,Baixa,Central,ohS,coda_sibilante,paroxytone,NA,kos.t,a
visar,ver,vi.z1aR,CV.C1VC,2,i,Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,vi.z,aR
impacto,nom,iN.p1ak.tu,VC.C1VC.CV,3,i,Alta,Front,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,NA,im.pak.t,o
demais,adv,dzhi.m1ajs,CV.C1VGC,2,i,Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,ajS,coda_complexa,oxytone,NA,de.mais,NA
aguardar,ver,a.gwaR.d1aR,V.CGVC.C1VC,3,a,Baixa,Central,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,guar.d,aR
nordeste,nom,noR.d1ehs.tshi,CVC.C1VC.CV,3,o,Média-Alta,Back,eh,Média-Baixa,Front,NA,NA,NA,i,Alta,Front,ehS,coda_sibilante,paroxytone,NA,nor.des.t,e
simplesmente,adv,siN.plis.m1ejN.tshi,CVC.CCVC.C1VGC.CV,4,i,Alta,Front,e,Média-Alta,Front,NA,NA,NA,i,Alta,Front,eN,coda_nasal,paroxytone,NA,sim.pl,eS.mente
deter,ver,de.t1eR,CV.C1VC,2,e,Média-Alta,Front,e,Média-Alta,Front,NA,NA,NA,NA,Baixa,NA,eR,coda_rotica,oxytone,NA,de.t,eR
estimular,ver,is.tshi.mu.l1aR,VC.CV.CV.C1VC,4,u,Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,es.ti.mu.l,aR
pesquisador,nom,pes.ki.za.d1oR,CVC.CV.CV.C1VC,4,a,Baixa,Central,o,Média-Alta,Back,NA,NA,NA,NA,Baixa,NA,oR,coda_rotica,oxytone,NA,pes.ki.z,ad.oR
irregularidade,nom,i.he.gu.la.ri.d1a.dzhi,V.CV.CV.CV.CV.C1V.CV,7,i,Alta,Front,a,Baixa,Central,NA,NA,NA,i,Alta,Front,a,vogal_oral,paroxytone,iN,he.gu.l,aR.i.dade
duro,adj,d1u.ru,C1V.CV,2,NA,NA,NA,u,Alta,Back,NA,NA,NA,NA,Baixa,NA,u,vogal_oral,paroxytone,NA,du.r,o
empate,nom,iN.p1a.tshi,VC.C1V.CV,3,i,Alta,Front,a,Baixa,Central,NA,NA,NA,i,Alta,Front,a,vogal_oral,paroxytone,NA,em.pa.t,e
considerado,adj,kowN.si.de.r1a.du,CVGC.CV.CV.C1V.CV,5,e,Média-Alta,Front,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,NA,kon.si.de.r,ad.o
relacionar,ver,he.la.si.o.n1aR,CV.CV.CV.V.C1VC,5,o,Média-Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,he,la.s,ioN.aR
escola,nom,is.k1oh.lax,VC.C1V.CV,3,i,Alta,Front,oh,Média-Baixa,Back,NA,NA,NA,a,Baixa,Central,oh,vogal_oral,paroxytone,NA,es.ko.l,a
recomendar,ver,he.ko.meN.d1aR,CV.CV.CVC.C1VC,4,e,Média-Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,he,ko.men.d,aR
assegurar,ver,a.se.gu.r1aR,V.CV.CV.C1VC,4,u,Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,a,se.gu.r,aR
elenco,nom,e.l1ejN.ku,V.C1VGC.CV,3,e,Média-Alta,Front,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,eN,coda_nasal,paroxytone,NA,e.len.k,o
ponta,nom,p1owN.tax,C1VGC.CV,2,NA,NA,NA,o,Média-Alta,Back,NA,NA,NA,a,Baixa,Central,oN,coda_nasal,paroxytone,NA,pon.t,a
treinamento,nom,trej.na.m1ejN.tu,CCVG.CV.C1VGC.CV,4,a,Baixa,Central,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,eN,coda_nasal,paroxytone,NA,trei.n,a.mento
compositor,nom,kowN.po.zi.t1oR,CVGC.CV.CV.C1VC,4,i,Alta,Front,o,Média-Alta,Back,NA,NA,NA,NA,Baixa,NA,oR,coda_rotica,oxytone,NA,kom.p,oz.it.oR
assassinato,nom,a.sa.si.n1a.tu,V.CV.CV.C1V.CV,5,i,Alta,Front,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,NA,a.sa.si.n,ato
tender,ver,tejN.d1eR,CVGC.C1VC,2,e,Média-Alta,Front,e,Média-Alta,Front,NA,NA,NA,NA,Baixa,NA,eR,coda_rotica,oxytone,NA,ten.d,eR
optar,ver,op.t1aR,VC.C1VC,2,o,Média-Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,op.t,aR
jamais,adv,zha.m1ajs,CV.C1VGC,2,a,Baixa,Central,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,ajS,coda_complexa,oxytone,NA,ja.mais,NA
absoluto,adj,a.bi.so.l1u.tu,V.CV.CV.C1V.CV,5,o,Média-Alta,Back,u,Alta,Back,NA,NA,NA,NA,Baixa,NA,u,vogal_oral,paroxytone,NA,ab.so.lu.t,o
escritor,nom,is.kri.t1oR,VC.CCV.C1VC,3,i,Alta,Front,o,Média-Alta,Back,NA,NA,NA,NA,Baixa,NA,oR,coda_rotica,oxytone,eS,es.kri.t,oR
estrutura,nom,is.tru.t1u.rax,VC.CCV.C1V.CV,4,u,Alta,Back,u,Alta,Back,NA,NA,NA,a,Baixa,Central,u,vogal_oral,paroxytone,NA,es.tru.tu.r,a
norma,nom,n1ohR.max,C1VC.CV,2,NA,NA,NA,oh,Média-Baixa,Back,NA,NA,NA,a,Baixa,Central,ohR,coda_rotica,paroxytone,NA,nor.m,a
bar,nom,b1aR,C1VC,1,NA,NA,NA,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,bar,NA
salvar,ver,saw.v1aR,CVG.C1VC,2,a,Baixa,Central,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,sal.v,aR
executar,ver,e.ze.ku.t1aR,V.CV.CV.C1VC,4,u,Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,e.ze.ku.t,aR
retornar,ver,he.toR.n1aR,CV.CVC.C1VC,3,o,Média-Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,he,tor.n,aR
constatar,ver,kowNs.ta.t1aR,CVGCC.CV.C1VC,3,a,Baixa,Central,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,kons.ta.t,aR
petista,nom,pe.tsh1is.tax,CV.C1VC.CV,3,e,Média-Alta,Front,i,Alta,Front,NA,NA,NA,a,Baixa,Central,iS,coda_sibilante,paroxytone,NA,pe.t,ist.a
profundo,adj,pro.f1uN.du,CCV.C1VC.CV,3,o,Média-Alta,Back,u,Alta,Back,NA,NA,NA,NA,Baixa,NA,uN,coda_nasal,paroxytone,NA,fun.d,o
cuidado,nom,kuj.d1a.du,CVG.C1V.CV,3,u,Alta,Back,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,NA,kui.d,ad.o
manifestar,ver,ma.ni.fes.t1aR,CV.CV.CVC.C1VC,4,e,Média-Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,ma.ni.fes.t,aR
atleta,nom,a.tl1eh.tax,V.CC1V.CV,3,a,Baixa,Central,eh,Média-Baixa,Front,NA,NA,NA,a,Baixa,Central,eh,vogal_oral,paroxytone,NA,a.tle.t,a
circuito,nom,siR.k1uj.tu,CVC.C1VG.CV,3,i,Alta,Front,u,Alta,Back,NA,NA,NA,NA,Baixa,NA,uj,ditongo_oral,paroxytone,NA,sir.kui.t,o
bomba,nom,b1owN.bax,C1VGC.CV,2,NA,NA,NA,o,Média-Alta,Back,NA,NA,NA,a,Baixa,Central,oN,coda_nasal,paroxytone,NA,bom.b,a
relator,nom,he.la.t1oR,CV.CV.C1VC,3,a,Baixa,Central,o,Média-Alta,Back,NA,NA,NA,NA,Baixa,NA,oR,coda_rotica,oxytone,NA,he.la.t,oR
segunda,nom,si.g1uN.dax,CV.C1VC.CV,3,i,Alta,Front,u,Alta,Back,NA,NA,NA,a,Baixa,Central,uN,coda_nasal,paroxytone,NA,se.gun.d,a
derrubar,ver,de.hu.b1aR,CV.CV.C1VC,3,u,Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,de.hu.b,aR
decreto,nom,de.kr1eh.tu,CV.CC1V.CV,3,e,Média-Alta,Front,eh,Média-Baixa,Front,NA,NA,NA,u,Alta,Back,eh,vogal_oral,paroxytone,NA,de.kre.t,o
escapar,ver,is.ka.p1aR,VC.CV.C1VC,3,a,Baixa,Central,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,es.ka.p,aR
ganho,nom,g16.nhu,C1V.CV,2,NA,NA,NA,6,Média-Alta ,Central,NA,NA,NA,u,Alta,Back,6,vogal_oral,paroxytone,NA,ga.N,o
afetar,ver,a.fe.t1aR,V.CV.C1VC,3,e,Média-Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,a.fe.t,aR
acusado,nom,a.ku.z1a.du,V.CV.C1V.CV,4,u,Alta,Back,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,NA,a.ku.z,ad.o
diretoria,nom,dzhi.re.to.r1i.ax,CV.CV.CV.C1V.V,5,o,Média-Alta,Back,i,Alta,Front,NA,NA,NA,a,Baixa,Central,i,vogal_oral,paroxytone,NA,di.re.t,oR.i.a
financiar,ver,fi.n6N.si.1aR,CV.CVC.CV.1VC,4,i,Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,fi.nan.si,aR
carregar,ver,ka.he.g1aR,CV.CV.C1VC,3,e,Média-Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,ka.he.g,aR
mina,nom,m1i.nax,C1V.CV,2,NA,NA,NA,i,Alta,Front,NA,NA,NA,a,Baixa,Central,i,vogal_oral,paroxytone,NA,mi.n,a
gratuito,adj,gra.t1uj.tu,CCV.C1VG.CV,3,a,Baixa,Central,u,Alta,Back,NA,NA,NA,NA,Baixa,NA,uj,ditongo_oral,paroxytone,NA,gra.t,uito
restar,ver,hes.t1aR,CVC.C1VC,2,e,Média-Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,hes.t,aR
descartar,ver,dzhis.kaR.t1aR,CVC.CVC.C1VC,3,a,Baixa,Central,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,des.kar.t,aR
baixar,ver,baj.sh1aR,CVG.C1VC,2,a,Baixa,Central,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,bai.x,aR
finalmente,adv,fi.naw.m1ejN.tshi,CV.CVG.C1VGC.CV,4,a,Baixa,Central,e,Média-Alta,Front,NA,NA,NA,i,Alta,Front,eN,coda_nasal,paroxytone,NA,fi.n,al.mente
planejar,ver,pla.ne.zh1aR,CCV.CV.C1VC,3,e,Média-Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,pla.n,ej.aR
rejeitar,ver,he.zhej.t1aR,CV.CVG.C1VC,3,e,Média-Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,he,jei.t,aR
feliz,adj,fe.l1is,CV.C1VC,2,e,Média-Alta,Front,i,Alta,Front,NA,NA,NA,NA,Baixa,NA,iS,coda_sibilante,oxytone,NA,fe.lis,NA
museu,nom,mu.z1ew,CV.C1VG,2,u,Alta,Back,e,Média-Alta,Front,NA,NA,NA,NA,Baixa,NA,ew,ditongo_oral,oxytone,NA,mu.zeu,NA
rural,adj,hu.r1aw,CV.C1VG,2,u,Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,NA,hu.r,al
gabinete,nom,ga.bi.n1e.tshi,CV.CV.C1V.CV,4,i,Alta,Front,e,Média-Alta,Front,NA,NA,NA,i,Alta,Front,e,vogal_oral,paroxytone,NA,ga.bi.ne.t,e
poesia,nom,po.e.z1i.ax,CV.V.C1V.V,4,e,Média-Alta,Front,i,Alta,Front,NA,NA,NA,a,Baixa,Central,i,vogal_oral,paroxytone,NA,po.e,zia
antecipar,ver,6N.te.si.p1aR,VC.CV.CV.C1VC,4,i,Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,ante,an.te.si.p,aR
faturamento,nom,fa.tu.ra.m1eN.tu,CV.CV.CV.C1VC.CV,5,a,Baixa,Central,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,eN,coda_nasal,paroxytone,NA,fa.tu.r,a.mento
quilo,nom,k1i.lu,C1V.CV,2,NA,NA,NA,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,NA,ki.l,o
cheque,nom,sh1eh.ki,C1V.CV,2,NA,NA,NA,eh,Média-Baixa,Front,NA,NA,NA,i,Alta,Front,eh,vogal_oral,paroxytone,NA,xe.k,e
embargo,nom,iN.b1aR.gu,VC.C1VC.CV,3,i,Alta,Front,a,Baixa,Central,NA,NA,NA,u,Alta,Back,aR,coda_rotica,paroxytone,NA,em.bar.g,o
